sep=,
"Time","stdTM5418300110010548962.sun_sensor_source"
1722010814876,8
1722010816701,8
1722010818507,8
1722010821132,8
1722010823158,8
1722010825656,8
1722010827296,8
1722010829156,8
1722010830970,8
1722010832717,8
1722010834570,8
1722010836468,8
1722010839002,8
1722010840817,8
1722010842627,8
1722010845191,8
1722010847047,8
1722010848836,8
1722010850640,8
1722010852623,8
1722010855056,8
1722010857093,6
1722010859269,6
1722010861071,6
1722010862868,6
1722010864682,6
1722010866457,6
1722010868813,6
1722010870652,6
1722010872680,6
1722010875047,6
1722010877109,6
1722010879268,6
1722010881091,6
1722010882939,6
1722010884691,6
1722010886506,6
1722010888972,6
1722010891072,6
1722010892925,6
1722010894705,6
1722010897146,6
1722010899340,6
1722010901149,6
1722010902944,6
1722010904776,6
1722010906537,6
1722010908905,6
1722010910903,6
1722010912737,6
1722010915055,6
1722010916869,6
1722010918638,6
1722010921176,6
1722010923424,6
1722010925272,6
1722010927084,6
1722010928912,6
1722010930716,6
1722010933261,6
1722010935092,6
1722010936882,6
1722010938733,6
1722010940631,6
1722010942604,6
1722010944957,6
1722010946770,6
1722010949226,6
1722010951034,6
1722010952860,6
1722010954681,6
1722010956608,6
1722010959089,6
1722010961205,6
1722010963570,6
1722010965208,6
1722010967005,6
1722010968845,6
1722010970638,6
1722010972655,6
1722010975071,6
1722010976709,6
1722010979251,6
1722010981059,6
1722010982882,6
1722010984693,6
1722010986532,6
1722010989028,6
1722010991697,6
1722010993510,6
1722010995318,6
1722010997125,6
1722010998881,6
1722011000748,6
1722011003052,6
1722011006615,6
1722011009251,6
1722011011058,6
1722011012863,6
1722011014671,6
1722011016614,6
1722011018966,6
1722011020877,6
1722011023103,6
1722011025259,6
1722011027067,6
1722011028873,6
1722011030702,6
1722011032511,6
1722011035249,6
1722011037032,6
1722011038839,6
1722011040676,6
1722011042616,6
1722011044442,6
1722011047029,6
1722011048832,6
1722011051403,6
1722011053819,6
1722011054988,6
1722011057176,8
1722011059001,8
1722011060856,8
1722011062659,8
1722011065532,8
1722011067256,8
1722011069109,8
1722011070938,8
1722011072748,8
1722011074550,8
1722011076480,8
1722011079190,8
1722011080969,8
1722011083453,8
1722011084586,8
1722011086945,8
1722011088769,8
1722011090603,8
1722011092598,8
1722011094915,8
1722011096739,8
1722011098592,8
1722011100621,8
1722011102926,8
1722011105123,8
1722011106933,8
1722011109389,8
1722011110554,8
1722011113309,8
1722011115040,8
1722011116814,8
1722011118495,8
1722011121275,8
1722011123043,8
1722011125411,8
1722011127051,8
1722011128877,8
1722011130691,8
1722011133250,8
1722011135076,8
1722011136886,8
1722011138693,8
1722011140532,8
1722011142855,8
1722011145486,8
1722011147295,8
1722011149076,8
1722011150887,8
1722011152708,8
1722011155351,8
